,title,rating,release_year,type,listed_in,Date
71,Dogs,TV-PG,2018,TV Show,Docuseries,11/19/2018
72,The Princess Switch,TV-PG,2018,Movie,"Children & Family Movies, Dramas, Romantic Movies",11/22/2018
73,Christmas Wedding Planner,PG,2017,Movie,"Comedies, International Movies, Romantic Movies",11/23/2018
74,Enter the Dragon,R,1973,Movie,"Action & Adventure, Classic Movies",3/23/2019
75,Grease,PG,1978,Movie,"Classic Movies, Comedies, Music & Musicals",12/18/2019
76,Spider-Man 3,PG-13,2007,Movie,"Action & Adventure, Sci-Fi & Fantasy",9/21/2018
77,Step Brothers,R,2008,Movie,Comedies,11/9/2019
78,The Matrix,R,1999,Movie,"Action & Adventure, Sci-Fi & Fantasy",6/18/2019
79,Zombieland,R,2009,Movie,"Comedies, Horror Movies",6/1/2019
80,The Interview,NR,1998,Movie,"Cult Movies, Dramas, Thrillers",3/14/2020
81,Always Be My Maybe,PG-13,2019,Movie,"Comedies, Romantic Movies",6/1/2019
82,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
83,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
84,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
85,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
86,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
87,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
88,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
89,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
90,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/14/2020
91,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
92,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
93,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
94,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
95,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
96,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
97,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/13/2020
98,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/12/2020
99,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/12/2020
100,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/12/2020
101,Dead to Me,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",5/11/2020
102,Tuca & Bertie,TV-MA,2019,TV Show,TV Comedies,5/26/2020
103,The Break with Michelle Wolf,TV-MA,2018,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",5/27/2018
104,The Kissing Booth,TV-14,2018,Movie,"Comedies, Romantic Movies",8/23/2020
105,Knock Down The House,PG,2019,Movie,Documentaries,6/25/2019
106,Snowpiercer,R,2013,Movie,"Action & Adventure, Cult Movies, International Movies",3/17/2020
107,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/21/2020
108,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/21/2020
109,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/21/2020
110,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/21/2020
111,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/21/2020
112,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/21/2020
113,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/20/2020
114,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/20/2020
115,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/20/2020
116,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/20/2020
117,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/19/2020
118,After Life,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",5/18/2020
119,Blue Jasmine,PG-13,2013,Movie,"Comedies, Dramas, Independent Movies",6/6/2018
120,The Jane Austen Book Club,PG-13,2007,Movie,"Comedies, Dramas, Romantic Movies",3/21/2019
121,Nappily Ever After,TV-MA,2018,Movie,"Comedies, Dramas, Romantic Movies",9/24/2018
122,F the Prom,TV-MA,2017,Movie,"Comedies, Romantic Movies",1/20/2019
123,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",6/19/2020
124,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",6/18/2020
125,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",6/17/2020
126,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",6/17/2020
127,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",6/16/2020
128,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",4/2/2020
129,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",4/2/2020
130,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",4/2/2020
131,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",4/2/2020
132,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/28/2020
133,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/27/2020
134,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
135,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
136,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
137,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
138,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
139,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
140,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
141,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
142,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
143,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/26/2020
144,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/25/2020
145,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/25/2020
146,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/25/2020
147,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/25/2020
148,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/25/2020
149,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/24/2020
150,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/24/2020
151,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/24/2020
152,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/24/2020
153,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/24/2020
154,All American,TV-14,2019,TV Show,"TV Dramas, Teen TV Shows",3/24/2020
155,Requiem,TV-MA,2018,TV Show,"British TV Shows, International TV Shows, TV Dramas",3/24/2018
156,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/8/2020
157,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/8/2020
158,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/7/2020
159,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/7/2020
160,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/7/2020
161,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/7/2020
162,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/7/2020
163,Selling Sunset,TV-MA,2019,TV Show,Reality TV,8/7/2020
164,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/15/2020
165,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
166,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
167,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
168,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
169,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
170,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
171,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
172,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
173,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
174,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
175,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
176,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
177,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/14/2020
178,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/13/2020
179,Selling Sunset,TV-MA,2019,TV Show,Reality TV,7/10/2020
180,One-Punch Man,TV-14,2015,TV Show,"Anime Series, Crime TV Shows, International TV Shows",6/12/2018
181,Saving Mr. Banks,PG-13,2013,Movie,"Comedies, Dramas",9/18/2019
182,Flint Town,TV-MA,2018,TV Show,"Docuseries, Science & Nature TV",3/16/2018
183,Take Your Pills,TV-14,2018,Movie,Documentaries,3/26/2018
184,Wild Wild Country,TV-MA,2018,TV Show,"Crime TV Shows, Docuseries",3/25/2018
185,The Lives of Others,R,2006,Movie,"Dramas, International Movies, Thrillers",9/21/2019
186,Solo,TV-14,2017,Movie,"Dramas, International Movies",12/23/2019
187,Solo,TV-MA,2018,Movie,"Dramas, Independent Movies, International Movies",12/23/2019
188,A Silent Voice,TV-14,2016,Movie,"Anime Features, International Movies",6/15/2019
189,Dr. Seuss' The Grinch,PG,2018,Movie,"Children & Family Movies, Comedies",6/16/2019
190,Exhibit A,TV-MA,2019,TV Show,"Crime TV Shows, Docuseries, Science & Nature TV",7/1/2019
191,ANIMA,TV-PG,2019,Movie,"Dramas, Independent Movies, Music & Musicals",6/27/2019
192,The Fundamentals of Caring,TV-MA,2016,Movie,"Comedies, Dramas, Independent Movies",11/17/2018
193,Cooking on High,TV-MA,2018,TV Show,Reality TV,6/24/2018
194,Neon Genesis Evangelion,TV-14,1995,TV Show,"Anime Series, International TV Shows",9/13/2019
195,The King's Speech,R,2010,Movie,"Dramas, International Movies",6/29/2019
196,Crashing,TV-MA,2016,TV Show,"British TV Shows, International TV Shows, Romantic TV Shows",7/3/2019
197,Crashing,TV-MA,2016,TV Show,"British TV Shows, International TV Shows, Romantic TV Shows",7/3/2019
198,Crashing,TV-MA,2016,TV Show,"British TV Shows, International TV Shows, Romantic TV Shows",7/3/2019
199,Crashing,TV-MA,2016,TV Show,"British TV Shows, International TV Shows, Romantic TV Shows",7/2/2019
200,Crashing,TV-MA,2016,TV Show,"British TV Shows, International TV Shows, Romantic TV Shows",7/2/2019
201,Crashing,TV-MA,2016,TV Show,"British TV Shows, International TV Shows, Romantic TV Shows",7/2/2019
202,LEGO House - Home of the Brick,TV-G,2018,Movie,"Documentaries, International Movies",6/28/2018
203,Set It Up,TV-14,2018,Movie,"Comedies, Romantic Movies",3/5/2020
204,DJ Cinderella,TV-PG,2019,Movie,"Children & Family Movies, Comedies",6/23/2019
205,Murder Mystery,PG-13,2019,Movie,Comedies,6/18/2019
206,The Phantom of the Opera,PG-13,2004,Movie,"Dramas, Music & Musicals, Romantic Movies",6/18/2019
207,What a Girl Wants,PG,2003,Movie,"Children & Family Movies, Comedies",6/14/2020
208,Miracle,PG,2004,Movie,"Children & Family Movies, Dramas, Sports Movies",6/8/2018
209,How the Grinch Stole Christmas,PG,2000,Movie,"Children & Family Movies, Comedies",12/16/2019
210,72 Cutest Animals,TV-G,2016,TV Show,"Docuseries, International TV Shows, Science & Nature TV",11/25/2018
211,Mary Poppins Returns,PG,2018,Movie,"Children & Family Movies, Music & Musicals",9/17/2019
212,Blue Valentine,R,2010,Movie,"Dramas, Independent Movies, Romantic Movies",3/10/2019
213,Her,R,2013,Movie,"Dramas, Romantic Movies, Sci-Fi & Fantasy",12/11/2018
214,Amy,R,2015,Movie,"Documentaries, International Movies, Music & Musicals",2/24/2019
215,Ex Machina,R,2015,Movie,"Dramas, Independent Movies, International Movies",9/17/2019
216,Amazing Interiors,TV-PG,2018,TV Show,"British TV Shows, International TV Shows, Reality TV",7/24/2018
217,Dark Tourist,TV-MA,2018,TV Show,"Docuseries, International TV Shows",7/25/2018
218,Dark Tourist,TV-MA,2018,TV Show,"Docuseries, International TV Shows",7/25/2018
219,Dark Tourist,TV-MA,2018,TV Show,"Docuseries, International TV Shows",7/24/2018
220,The Break-Up,PG-13,2006,Movie,"Comedies, Dramas, Romantic Movies",7/18/2019
221,Going for Gold,TV-G,2018,Movie,"Children & Family Movies, Dramas, International Movies",11/21/2018
222,The Spectacular Now,R,2013,Movie,"Dramas, Independent Movies, Romantic Movies",7/24/2018
223,White Christmas,TV-G,1954,Movie,"Children & Family Movies, Classic Movies, Comedies",12/29/2018
224,Chasing Coral,TV-PG,2017,Movie,Documentaries,12/19/2018
225,Blown Away,TV-PG,2019,TV Show,"International TV Shows, Reality TV",7/15/2019
226,Blown Away,TV-PG,2019,TV Show,"International TV Shows, Reality TV",7/15/2019
227,Rain Man,R,1988,Movie,"Classic Movies, Dramas",7/7/2019
228,The Pink Panther,PG,2006,Movie,"Children & Family Movies, Comedies",7/11/2019
229,Cheer,TV-MA,2020,TV Show,"Docuseries, Reality TV, Teen TV Shows",2/29/2020
230,The Conjuring,R,2013,Movie,"Horror Movies, Thrillers",6/22/2019
231,Before I Wake,PG-13,2016,Movie,"Horror Movies, Thrillers",3/7/2018
232,Dirty Money,TV-14,2018,TV Show,"Crime TV Shows, Docuseries",3/17/2020
233,Dirty Money,TV-14,2018,TV Show,"Crime TV Shows, Docuseries",4/29/2018
234,Monty Python and the Holy Grail,PG,1975,Movie,"Action & Adventure, Classic Movies, Comedies",6/1/2019
235,The Master,R,2012,Movie,"Dramas, Independent Movies",2/3/2020
236,The Fighter,R,2010,Movie,"Dramas, Sports Movies",3/9/2019
237,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/23/2020
238,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/21/2020
239,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/21/2020
240,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/18/2020
241,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/18/2020
242,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/17/2020
243,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/17/2020
244,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/17/2020
245,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/17/2020
246,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",2/3/2019
247,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/19/2019
248,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/19/2019
249,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/18/2019
